
1618901900.918:  AA AA 02 BA 04 41
1618901900.919:  AA AA 02 BC 05 3E
1618901901.361:  AA AA 04 80 02 00 35 48
1618901901.364:  AA AA 04 80 02 00 35 48
1618901901.365:  AA AA 04 80 02 00 35 48
1618901901.366:  AA AA 04 80 02 00 35 48
1618901901.368:  AA AA 04 80 02 00 35 48
1618901901.369:  AA AA 04 80 02 00 35 48
1618901901.369:  AA AA 04 80 02 00 35 48
1618901901.369:  AA AA 04 80 02 00 35 48
1618901901.369:  AA AA 04 80 02 00 35 48
1618901901.369:  AA AA 04 80 02 00 35 48
1618901901.369:  AA AA 04 80 02 00 35 48
1618901901.370:  AA AA 04 80 02 00 35 48
1618901901.372:  AA AA 04 80 02 00 35 48
1618901901.374:  AA AA 04 80 02 00 35 48
1618901901.375:  AA AA 04 80 02 00 35 48
1618901901.378:  AA AA 04 80 02 00 35 48
1618901901.380:  AA AA 04 80 02 00 35 48
1618901901.382:  AA AA 04 80 02 00 35 48
1618901901.384:  AA AA 04 80 02 00 35 48
1618901901.385:  AA AA 04 80 02 00 36 47
1618901901.388:  AA AA 04 80 02 00 35 48
1618901901.390:  AA AA 04 80 02 00 34 49
1618901901.392:  AA AA 04 80 02 00 35 48
1618901901.396:  AA AA 04 80 02 00 35 48
1618901901.399:  AA AA 04 80 02 00 35 48
1618901901.400:  AA AA 04 80 02 00 34 49
1618901901.402:  AA AA 04 80 02 00 35 48
1618901901.403:  AA AA 04 80 02 00 34 49
1618901901.404:  AA AA 04 80 02 00 35 48
1618901901.407:  AA AA 04 80 02 00 35 48
1618901901.407:  AA AA 04 80 02 00 34 49
1618901901.408:  AA AA 04 80 02 00 35 48
1618901901.410:  AA AA 04 80 02 00 35 48
1618901901.413:  AA AA 04 80 02 00 35 48
1618901901.414:  AA AA 04 80 02 00 35 48
1618901901.419:  AA AA 04 80 02 00 35 48
1618901901.422:  AA AA 04 80 02 00 35 48
1618901901.423:  AA AA 04 80 02 00 35 48
1618901901.424:  AA AA 04 80 02 00 35 48
1618901901.426:  AA AA 04 80 02 00 35 48
1618901901.427:  AA AA 04 80 02 00 35 48
1618901901.431:  AA AA 04 80 02 00 35 48
1618901901.432:  AA AA 04 80 02 00 35 48
1618901901.433:  AA AA 04 80 02 00 35 48
1618901901.434:  AA AA 04 80 02 00 35 48
1618901901.436:  AA AA 04 80 02 00 35 48
1618901901.437:  AA AA 04 80 02 00 35 48
1618901901.439:  AA AA 04 80 02 00 35 48
1618901901.442:  AA AA 04 80 02 00 35 48
1618901901.443:  AA AA 04 80 02 00 35 48
1618901901.446:  AA AA 04 80 02 00 35 48
1618901901.447:  AA AA 04 80 02 00 35 48
1618901901.449:  AA AA 04 80 02 00 35 48
1618901901.452:  AA AA 04 80 02 00 35 48
1618901901.453:  AA AA 04 80 02 00 34 49
1618901901.456:  AA AA 04 80 02 00 35 48
1618901901.458:  AA AA 04 80 02 00 36 47
1618901901.465:  AA AA 04 80 02 00 35 48
1618901901.466:  AA AA 04 80 02 00 35 48
1618901901.467:  AA AA 04 80 02 00 35 48
1618901901.468:  AA AA 04 80 02 00 35 48
1618901901.468:  AA AA 04 80 02 00 35 48
1618901901.493:  AA AA 04 80 02 00 35 48
1618901901.495:  AA AA 04 80 02 00 35 48
1618901901.518:  AA AA 04 80 02 00 35 48
1618901901.520:  AA AA 04 80 02 00 35 48
1618901901.521:  AA AA 04 80 02 00 35 48
1618901901.524:  AA AA 04 80 02 00 35 48
1618901901.524:  AA AA 04 80 02 00 35 48
1618901901.524:  AA AA 04 80 02 00 35 48
1618901901.524:  AA AA 04 80 02 00 35 48
1618901901.524:  AA AA 04 80 02 00 35 48
1618901901.524:  AA AA 04 80 02 00 35 48
1618901901.524:  AA AA 04 80 02 00 35 48
1618901901.524:  AA AA 04 80 02 00 35 48
1618901901.525:  AA AA 04 80 02 00 35 48
1618901901.525:  AA AA 04 80 02 00 34 49
1618901901.525:  AA AA 04 80 02 00 35 48
1618901901.525:  AA AA 04 80 02 00 35 48
1618901901.525:  AA AA 04 80 02 00 34 49
1618901901.525:  AA AA 04 80 02 00 34 49
1618901901.525:  AA AA 04 80 02 00 34 49
1618901901.525:  AA AA 04 80 02 00 34 49
1618901901.525:  AA AA 04 80 02 00 35 48
1618901901.525:  AA AA 04 80 02 00 35 48
1618901901.525:  AA AA 04 80 02 00 35 48
